"Stkcd","Reptdt","Shrcr1","Shrcr4"
"000338","2021-12-31","22.2169","51.9820"
"000338","2022-12-31","22.2163","52.1856"
"000400","2014-12-31","41.0249","46.6792"
"000400","2015-12-31","40.9474","53.1151"
"000400","2016-12-31","41.2760","54.2018"
"000400","2017-12-31","41.2760","52.7812"
"000400","2018-12-31","41.2760","51.5345"
"000400","2019-12-31","43.2561","53.7516"
"000400","2020-12-31","43.2561","57.9181"
"000400","2021-12-31","38.4727","47.6785"
"000400","2022-12-31","38.3096","48.8347"
"000401","2014-12-31","38.6280","75.2909"
"000401","2015-12-31","37.4831","69.5209"
"000401","2016-12-31","30.0000","68.3562"
"000401","2017-12-31","30.0000","43.7490"
"000401","2018-12-31","30.0000","48.4754"
"000401","2019-12-31","30.0000","46.0226"
"000401","2020-12-31","30.0000","47.9429"
"000401","2021-12-31","47.5329","76.1172"
"000401","2022-12-31","44.3397","70.5355"
"000403","2014-12-31","22.6068","40.7307"
"000403","2015-12-31","22.6068","41.4164"
"000403","2016-12-31","22.6068","39.1280"
"000403","2017-12-31","27.4859","59.5921"
"000403","2018-12-31","27.4859","59.1325"
"000403","2019-12-31","27.4859","60.1018"
"000403","2020-12-31","27.3061","58.3794"
"000403","2021-12-31","18.3464","51.9022"
"000403","2022-12-31","18.3598","52.4994"
"000404","2014-12-31","28.8055","41.7026"
"000404","2015-12-31","28.8055","37.5405"
"000404","2016-12-31","28.8055","42.6629"
"000404","2017-12-31","28.9518","39.0516"
"000404","2018-12-31","29.9774","42.8772"
"000404","2019-12-31","30.6029","42.4325"
"000404","2020-12-31","30.6029","40.9179"
"000404","2021-12-31","30.6029","40.0927"
"000404","2022-12-31","30.6029","38.9066"
"000408","2014-12-31","19.6907","25.4644"
"000408","2015-12-31","19.6907","23.8193"
"000408","2016-12-31","43.6669","83.7495"
"000408","2017-12-31","43.0786","81.5577"
"000408","2018-12-31","43.0786","83.3741"
"000408","2019-12-31","43.0786","82.6243"
"000408","2020-12-31","43.0786","83.9342"
"000408","2021-12-31","40.7875","79.5571"
"000408","2022-12-31","25.6364","72.1021"
"000410","2014-12-31","30.0901","33.1337"
"000410","2015-12-31","30.1197","33.3731"
"000410","2016-12-31","30.1346","33.7684"
"000410","2017-12-31","30.1346","33.4422"
"000410","2018-12-31","30.1346","32.5849"
"000410","2019-12-31","29.9900","64.8515"
"000410","2020-12-31","29.9900","56.4634"
"000410","2021-12-31","29.9900","54.3149"
"000410","2022-12-31","42.8989","62.5354"
"000413","2014-12-31","14.6537","41.6242"
"000413","2015-12-31","21.6416","51.2180"
