"Stkcd","ShortName","Accper","Typrep","Bbd1102101","B001302000","B001301000","B001300000"
"000017","深中华A","2021-12-31","A","","","","-1082045.37"
"000017","深中华A","2022-12-31","A","","","","-6049884.46"
"000020","深华发A","2014-12-31","A","0.00","983612.12","0.00","4746535.78"
"000020","深华发A","2015-12-31","A","0.00","25247171.27","0.00","-2926167.55"
"000020","深华发A","2016-12-31","A","","333974.06","","8390973.58"
"000020","深华发A","2017-12-31","A","","372245.91","","5317858.14"
"000020","深华发A","2018-12-31","A","","326439.49","","4046152.96"
"000020","深华发A","2019-12-31","A","","180964.60","","7900400.31"
"000020","深华发A","2020-12-31","A","","165317.73","","8737189.13"
"000020","深华发A","2021-12-31","A","","290069.30","","11040421.31"
"000020","深华发A","2022-12-31","A","","523015.87","","15051760.65"
"000021","长城开发","2014-12-31","A","0.00","90026392.70","-172111521.20","259746573.82"
"000021","深科技","2015-12-31","A","0.00","5866821.37","-119754653.28","197691231.09"
"000021","深科技","2016-12-31","A","","35041895.83","196368146.38","338822133.58"
"000021","深科技","2017-12-31","A","","200206898.96","216573295.44","733982956.05"
"000021","深科技","2018-12-31","A","","128422256.06","-28684943.99","699361910.89"
"000021","深科技","2019-12-31","A","","-55117541.78","-130287416.78","546398117.55"
"000021","深科技","2020-12-31","A","","259383871.64","253253607.49","1121562545.03"
"000021","深科技","2021-12-31","A","","-5134611.33","314635023.47","1021015424.07"
"000021","深科技","2022-12-31","A","","141164939.36","-588539731.75","807600304.84"
"000030","富奥股份","2014-12-31","A","0.00","471423568.77","0.00","659232127.58"
"000030","富奥股份","2015-12-31","A","0.00","435786437.18","0.00","522774486.34"
"000030","富奥股份","2016-12-31","A","","446166427.47","","649343102.80"
"000030","富奥股份","2017-12-31","A","","498167932.57","","921342798.03"
"000030","富奥股份","2018-12-31","A","","667189530.52","","861965096.83"
"000030","富奥股份","2019-12-31","A","","582012326.02","","939302231.25"
"000030","富奥股份","2020-12-31","A","","614392131.66","307417.81","924769835.87"
"000030","富奥股份","2021-12-31","A","","542868384.73","85856.16","744161905.66"
"000030","富奥股份","2022-12-31","A","","556955091.90","-202890.41","447217896.69"
"000039","中集集团","2014-12-31","A","0.00","435901000.00","-228725000.00","3297874000.00"
"000039","中集集团","2015-12-31","A","0.00","776106000.00","-103031000.00","2943736000.00"
"000039","中集集团","2016-12-31","A","","234410000.00","613913000.00","800538000.00"
"000039","中集集团","2017-12-31","A","","510351000.00","111316000.00","4171685000.00"
"000039","中集集团","2018-12-31","A","","-82029000.00","-239620000.00","6477005000.00"
"000039","中集集团","2019-12-31","A","","326936000.00","-156752000.00","5838747000.00"
"000039","中集集团","2020-12-31","A","","5300880000.00","144853000.00","7439627000.00"
"000039","中集集团","2021-12-31","A","","1268093000.00","-72013000.00","13471549000.00"
"000039","中集集团","2022-12-31","A","","-595269000.00","-1076836000.00","7505208000.00"
"000045","深纺织A","2014-12-31","A","0.00","23294636.54","0.00","-83135175.41"
"000045","深纺织A","2015-12-31","A","0.00","94812557.58","0.00","19290072.72"
"000045","深纺织A","2016-12-31","A","","5223413.76","","-92920287.35"
"000045","深纺织A","2017-12-31","A","","53555819.95","","86168385.31"
"000045","深纺织A","2018-12-31","A","","51793705.47","","-54469187.15"
"000045","深纺织A","2019-12-31","A","","78038530.25","","4949428.32"
"000045","深纺织A","2020-12-31","A","","22599670.74","2687518.74","50394125.02"
"000045","深纺织A","2021-12-31","A","","22663013.06","2150943.40","66633939.87"
"000045","深纺织A","2022-12-31","A","","19383351.87","","36832817.70"
"000048","康达尔","2014-12-31","A","0.00","5347948.70","-835068.50","153186018.43"
"000048","康达尔","2015-12-31","A","0.00","1261285.86","0.00","246169418.44"
"000048","康达尔","2016-12-31","A","","154505.49","","-21024881.43"
"000048","康达尔","2017-12-31","A","","-2293520.58","","-144493313.54"
"000048","*ST 康达","2018-12-31","A","","7008190.09","","623660665.47"
"000048","康达尔","2019-12-31","A","","148830832.68","16848063.89","1526154977.50"
"000048","京基智农","2020-12-31","A","","54185888.98","9084775.41","1179767184.62"
"000048","京基智农","2021-12-31","A","","205885626.84","","666102180.71"
"000048","京基智农","2022-12-31","A","","21582543.14","","1047236353.00"
"000049","德赛电池","2014-12-31","A","0.00","10575924.79","11255246.26","396805583.20"
"000049","德赛电池","2015-12-31","A","0.00","50825381.05","-10526106.70","387841108.34"
"000049","德赛电池","2016-12-31","A","","12617606.65","5157342.31","436386942.91"
"000049","德赛电池","2017-12-31","A","","10759811.87","-6496595.17","499828522.75"
"000049","德赛电池","2018-12-31","A","","12830519.33","","677690962.49"
"000049","德赛电池","2019-12-31","A","","13970309.61","","841033579.47"
"000049","德赛电池","2020-12-31","A","","15832892.69","-35249382.04","904636483.41"
"000049","德赛电池","2021-12-31","A","","6817088.39","11793578.34","952836881.03"
"000049","德赛电池","2022-12-31","A","","-7335037.63","16919967.51","987074437.94"
