"Stkcd","ShortName","Accper","Typrep","F081602C"
"000048","康达尔","2014-12-31","B","28.267043"
"000048","康达尔","2015-12-31","A","0.073496"
"000048","康达尔","2015-12-31","B","0.565365"
"000048","康达尔","2016-12-31","A","-0.321799"
"000048","康达尔","2016-12-31","B","-0.889981"
"000048","康达尔","2017-12-31","A","-0.007441"
"000048","康达尔","2017-12-31","B","-0.853046"
"000048","*ST 康达","2018-12-31","A","1.217933"
"000048","*ST 康达","2018-12-31","B","139.456076"
"000048","康达尔","2019-12-31","A","0.431134"
"000048","康达尔","2019-12-31","B","0.902343"
"000048","京基智农","2020-12-31","A","-0.172244"
"000048","京基智农","2020-12-31","B","-0.057063"
"000048","京基智农","2021-12-31","A","-0.208775"
"000048","京基智农","2021-12-31","B","-0.312171"
"000048","京基智农","2022-12-31","A","0.861153"
"000048","京基智农","2022-12-31","B","0.221508"
"000049","德赛电池","2014-12-31","A","0.451357"
"000049","德赛电池","2014-12-31","B",""
"000049","德赛电池","2015-12-31","A","0.319987"
"000049","德赛电池","2015-12-31","B",""
"000049","德赛电池","2016-12-31","A","0.034411"
"000049","德赛电池","2016-12-31","B",""
"000049","德赛电池","2017-12-31","A","0.431154"
"000049","德赛电池","2017-12-31","B",""
"000049","德赛电池","2018-12-31","A","0.381489"
"000049","德赛电池","2018-12-31","B",""
"000049","德赛电池","2019-12-31","A","0.069189"
"000049","德赛电池","2019-12-31","B",""
"000049","德赛电池","2020-12-31","A","0.051789"
"000049","德赛电池","2020-12-31","B",""
"000049","德赛电池","2021-12-31","A","0.003765"
"000049","德赛电池","2021-12-31","B",""
"000049","德赛电池","2022-12-31","A","0.117009"
"000049","德赛电池","2022-12-31","B",""
"000050","深天马A","2014-12-31","A","1.062754"
"000050","深天马A","2014-12-31","B","0.289057"
"000050","深天马A","2015-12-31","A","0.129542"
"000050","深天马A","2015-12-31","B","0.241087"
"000050","深天马A","2016-12-31","A","0.019635"
"000050","深天马A","2016-12-31","B","0.028725"
"000050","深天马A","2017-12-31","A","0.305096"
"000050","深天马A","2017-12-31","B","0.453645"
"000050","深天马A","2018-12-31","A","1.063268"
"000050","深天马A","2018-12-31","B","-0.022820"
"000050","深天马A","2019-12-31","A","0.047401"
"000050","深天马A","2019-12-31","B","0.014716"
"000050","深天马A","2020-12-31","A","-0.034649"
"000050","深天马A","2020-12-31","B","0.124456"
"000050","深天马A","2021-12-31","A","0.088821"
"000050","深天马A","2021-12-31","B","0.254920"
"000050","深天马A","2022-12-31","A","-0.011993"
"000050","深天马A","2022-12-31","B","0.191231"
"000050","深天马A","2023-12-31","A","0.026197"
"000050","深天马A","2023-12-31","B","-0.021924"
"000055","方大集团","2014-12-31","A","0.109122"
"000055","方大集团","2014-12-31","B","-0.351524"
"000055","方大集团","2015-12-31","A","0.315810"
"000055","方大集团","2015-12-31","B","0.012431"
"000055","方大集团","2016-12-31","A","0.648273"
"000055","方大集团","2016-12-31","B","0.141145"
"000055","方大集团","2017-12-31","A","-0.298867"
"000055","方大集团","2017-12-31","B","-0.142509"
"000055","方大集团","2018-12-31","A","0.034338"
"000055","方大集团","2018-12-31","B","0.051040"
"000055","方大集团","2019-12-31","A","-0.014082"
"000055","方大集团","2019-12-31","B","-0.068142"
"000055","方大集团","2020-12-31","A","-0.008801"
"000055","方大集团","2020-12-31","B","-0.148224"
"000055","方大集团","2021-12-31","A","0.194149"
"000055","方大集团","2021-12-31","B","0.019703"
"000055","方大集团","2022-12-31","A","0.081302"
"000055","方大集团","2022-12-31","B","0.132841"
"000059","华锦股份","2014-12-31","A","0.057444"
"000059","华锦股份","2014-12-31","B","-0.133306"
"000059","*ST 华锦","2015-12-31","A","-0.296639"
"000059","*ST 华锦","2015-12-31","B","-0.336056"
"000059","华锦股份","2016-12-31","A","-0.058409"
"000059","华锦股份","2016-12-31","B","0.010285"
"000059","华锦股份","2017-12-31","A","0.158392"
"000059","华锦股份","2017-12-31","B","0.147819"
"000059","华锦股份","2018-12-31","A","0.088080"
"000059","华锦股份","2018-12-31","B","0.078621"
"000059","华锦股份","2019-12-31","A","0.079738"
"000059","华锦股份","2019-12-31","B","0.042101"
"000059","华锦股份","2020-12-31","A","-0.231540"
"000059","华锦股份","2020-12-31","B","-0.226084"
"000059","华锦股份","2021-12-31","A","0.266608"
"000059","华锦股份","2021-12-31","B","0.187101"
"000059","华锦股份","2022-12-31","A","0.272612"
"000059","华锦股份","2022-12-31","B","0.332817"
"000060","中金岭南","2014-12-31","A","0.163673"
"000060","中金岭南","2014-12-31","B","-0.308545"
"000060","中金岭南","2015-12-31","A","-0.310741"
"000060","中金岭南","2015-12-31","B","-0.173661"
"000060","中金岭南","2016-12-31","A","-0.110923"
"000060","中金岭南","2016-12-31","B","0.175640"
"000060","中金岭南","2017-12-31","A","0.259476"
"000060","中金岭南","2017-12-31","B","0.280387"
"000060","中金岭南","2018-12-31","A","0.052557"
"000060","中金岭南","2018-12-31","B","0.031895"
"000060","中金岭南","2019-12-31","A","0.142116"
"000060","中金岭南","2019-12-31","B","0.064372"
"000060","中金岭南","2020-12-31","A","0.325677"
"000060","中金岭南","2020-12-31","B","-0.055014"
"000060","中金岭南","2021-12-31","A","0.470556"
"000060","中金岭南","2021-12-31","B","0.225543"
"000060","中金岭南","2022-12-31","A","0.245004"
"000060","中金岭南","2022-12-31","B","0.141953"
"000063","中兴通讯","2014-12-31","A","0.082909"
"000063","中兴通讯","2014-12-31","B","0.110895"
"000063","中兴通讯","2015-12-31","A","0.229714"
"000063","中兴通讯","2015-12-31","B","0.171901"
"000063","中兴通讯","2016-12-31","A","0.010448"
"000063","中兴通讯","2016-12-31","B","0.012530"
"000063","中兴通讯","2017-12-31","A","0.074897"
"000063","中兴通讯","2017-12-31","B","0.054914"
"000063","中兴通讯","2018-12-31","A","-0.214144"
"000063","中兴通讯","2018-12-31","B","-0.206153"
"000063","中兴通讯","2019-12-31","A","0.061083"
"000063","中兴通讯","2019-12-31","B","0.053370"
"000063","中兴通讯","2020-12-31","A","0.118079"
"000063","中兴通讯","2020-12-31","B","0.174234"
"000063","中兴通讯","2021-12-31","A","0.128841"
"000063","中兴通讯","2021-12-31","B","0.173364"
"000063","中兴通讯","2022-12-31","A","0.073635"
"000063","中兴通讯","2022-12-31","B","0.119504"
"000063","中兴通讯","2023-12-31","A","0.010544"
"000063","中兴通讯","2023-12-31","B","0.090847"
"000066","长城电脑","2014-12-31","A","-0.008390"
"000066","长城电脑","2014-12-31","B","0.061602"
"000066","长城电脑","2015-12-31","A","-0.055301"
"000066","长城电脑","2015-12-31","B","0.042642"
"000066","长城电脑","2016-12-31","A","-0.052206"
