"Stkcd","ShortName","Accper","Typrep","F050501B"
"000045","深纺织A","2016-12-31","A","-0.025368"
"000045","深纺织A","2016-12-31","B","0.012258"
"000045","深纺织A","2017-12-31","A","0.020909"
"000045","深纺织A","2017-12-31","B","0.014353"
"000045","深纺织A","2018-12-31","A","-0.018009"
"000045","深纺织A","2018-12-31","B","0.009546"
"000045","深纺织A","2019-12-31","A","-0.004806"
"000045","深纺织A","2019-12-31","B","0.022647"
"000045","深纺织A","2020-12-31","A","0.011155"
"000045","深纺织A","2020-12-31","B","0.013125"
"000045","深纺织A","2021-12-31","A","0.018950"
"000045","深纺织A","2021-12-31","B","0.010649"
"000045","深纺织A","2022-12-31","A","0.027733"
"000045","深纺织A","2022-12-31","B","0.008959"
"000045","深纺织A","2023-12-31","A","0.030919"
"000045","深纺织A","2023-12-31","B","0.011322"
"000048","康达尔","2014-12-31","A","0.198734"
"000048","康达尔","2014-12-31","B","0.690084"
"000048","康达尔","2015-12-31","A","0.261454"
"000048","康达尔","2015-12-31","B","0.710766"
"000048","康达尔","2016-12-31","A","0.007269"
"000048","康达尔","2016-12-31","B","0.022272"
"000048","康达尔","2017-12-31","A","-0.195778"
"000048","康达尔","2017-12-31","B","-0.212546"
"000048","*ST 康达","2018-12-31","A","0.366857"
"000048","*ST 康达","2018-12-31","B","0.493568"
"000048","康达尔","2019-12-31","A","0.487121"
"000048","康达尔","2019-12-31","B","0.572651"
"000048","京基智农","2020-12-31","A","0.315585"
"000048","京基智农","2020-12-31","B","0.325925"
"000048","京基智农","2021-12-31","A","0.155751"
"000048","京基智农","2021-12-31","B","0.250053"
"000048","京基智农","2022-12-31","A","0.299013"
"000048","京基智农","2022-12-31","B","0.219401"
"000048","京基智农","2023-12-31","A","0.449844"
"000048","京基智农","2023-12-31","B","0.487134"
"000049","德赛电池","2014-12-31","A","0.340650"
"000049","德赛电池","2014-12-31","B","0.181509"
"000049","德赛电池","2015-12-31","A","0.257216"
"000049","德赛电池","2015-12-31","B","0.078326"
"000049","德赛电池","2016-12-31","A","0.233108"
"000049","德赛电池","2016-12-31","B","0.249156"
"000049","德赛电池","2017-12-31","A","0.200400"
"000049","德赛电池","2017-12-31","B","0.251257"
"000049","德赛电池","2018-12-31","A","0.232096"
"000049","德赛电池","2018-12-31","B","0.144993"
"000049","德赛电池","2019-12-31","A","0.234107"
"000049","德赛电池","2019-12-31","B","0.292309"
"000049","德赛电池","2020-12-31","A","0.262293"
"000049","德赛电池","2020-12-31","B","0.616137"
"000049","德赛电池","2021-12-31","A","0.231515"
"000049","德赛电池","2021-12-31","B","0.203390"
"000049","德赛电池","2022-12-31","A","0.201769"
"000049","德赛电池","2022-12-31","B","-0.019421"
"000049","德赛电池","2023-12-31","A","0.080130"
"000049","德赛电池","2023-12-31","B","0.071201"
"000050","深天马A","2014-12-31","A","0.080238"
"000050","深天马A","2014-12-31","B","0.018809"
"000050","深天马A","2015-12-31","A","0.041935"
"000050","深天马A","2015-12-31","B","0.015702"
"000050","深天马A","2016-12-31","A","0.041368"
"000050","深天马A","2016-12-31","B","0.012787"
"000050","深天马A","2017-12-31","A","0.055766"
