"Symbol","ShortName","EndDate","EquityNature"
"000488","晨鸣纸业","2016-12-31","国企"
"000488","晨鸣纸业","2017-12-31","国企"
"000488","晨鸣纸业","2018-12-31","国企"
"000488","晨鸣纸业","2019-12-31","国企"
"000488","晨鸣纸业","2020-12-31","国企"
"000488","晨鸣纸业","2021-12-31","国企"
"000488","晨鸣纸业","2022-12-31","国企"
"000505","珠江控股","2014-12-31","国企"
"000505","珠江控股","2015-12-31","国企"
"000505","*ST 珠江","2016-12-31","国企"
"000505","珠江控股","2017-12-31","国企"
"000505","京粮控股","2018-12-31","国企"
"000505","京粮控股","2019-12-31","国企"
"000505","京粮控股","2020-12-31","国企"
"000505","京粮控股","2021-12-31","国企"
"000505","京粮控股","2022-12-31","国企"
"000510","金路集团","2014-12-31","国企"
"000510","*ST 金路","2015-12-31","民营"
"000510","金路集团","2016-12-31","民营"
"000510","金路集团","2017-12-31","民营"
"000510","金路集团","2018-12-31","民营"
"000510","新金路","2019-12-31","民营"
"000510","新金路","2020-12-31","民营"
"000510","新金路","2021-12-31","民营"
"000510","新金路","2022-12-31","民营"
"000511","烯碳新材","2014-12-31","民营"
"000511","烯碳新材","2015-12-31","民营"
"000511","*ST 烯碳","2016-12-31","民营"
"000511","*ST 烯碳","2017-12-31","民营"
"000513","丽珠集团","2014-12-31","民营"
"000513","丽珠集团","2015-12-31","民营"
"000513","丽珠集团","2016-12-31","民营"
"000513","丽珠集团","2017-12-31","民营"
"000513","丽珠集团","2018-12-31","民营"
"000513","丽珠集团","2019-12-31","民营"
"000513","丽珠集团","2020-12-31","民营"
"000513","丽珠集团","2021-12-31","民营"
"000513","丽珠集团","2022-12-31","民营"
"000518","四环生物","2014-12-31",""
"000518","四环生物","2015-12-31",""
"000518","四环生物","2016-12-31",""
"000518","四环生物","2017-12-31",""
"000518","四环生物","2018-12-31",""
"000518","四环生物","2019-12-31",""
"000518","四环生物","2020-12-31","民营"
"000518","四环生物","2021-12-31","民营"
"000518","四环生物","2022-12-31","民营"
"000519","江南红箭","2014-12-31","国企"
"000519","江南红箭","2015-12-31","国企"
"000519","江南红箭","2016-12-31","国企"
"000519","中兵红箭","2017-12-31","国企"
"000519","中兵红箭","2018-12-31","国企"
"000519","中兵红箭","2019-12-31","国企"
"000519","中兵红箭","2020-12-31","国企"
"000519","中兵红箭","2021-12-31","国企"
"000519","中兵红箭","2022-12-31","国企"
"000521","美菱电器","2014-12-31","国企"
"000521","美菱电器","2015-12-31","国企"
"000521","美菱电器","2016-12-31","国企"
"000521","美菱电器","2017-12-31","国企"
"000521","长虹美菱","2018-12-31","国企"
"000521","长虹美菱","2019-12-31","国企"
"000521","长虹美菱","2020-12-31","国企"
"000521","长虹美菱","2021-12-31","国企"
"000521","长虹美菱","2022-12-31","国企"
"000523","广州浪奇","2014-12-31","国企"
"000523","广州浪奇","2015-12-31","国企"
"000523","广州浪奇","2016-12-31","国企"
"000523","广州浪奇","2017-12-31","国企"
"000523","广州浪奇","2018-12-31","国企"
"000523","广州浪奇","2019-12-31","国企"
"000523","广州浪奇","2020-12-31","国企"
"000523","*ST 浪奇","2021-12-31","国企"
